Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Mf27cnAF1Q6Ko83XTM5d1,"Glitter & Gold","The Attractions Of Youth","Barns Courtney",2017-09-29,176093,67,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"gothic country","EMI",0.487,0.625,8,-5.112,1,0.0401,0.374,0,0.226,0.351,170.397,4
4ASZdm6CLLu0BnId42l5Gz,"Good Girls (Don't Get Used)","Good Girls (Don't Get Used)","Beach Bunny",2020-11-30,215402,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Tugboat Records",0.667,0.901,8,-4.221,1,0.0515,0.0178,0.000654,0.0814,0.713,150.058,4
6tPLIurCFf9MAGYvba94ub,"Dead To Me","Dead To Me","Chloe Adams",2022-02-25,153222,42,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Chloe Adams",0.859,0.405,4,-6.359,0,0.133,0.0179,0.126,0.108,0.646,134.937,4
6SRsiMl7w1USE4mFqrOhHC,"brutal","SOUR","Olivia Rodrigo",2021-05-21,143746,74,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Olivia Rodrigo PS",0.672,0.526,4,-6.446,1,0.0599,0.0311,0.00000137,0.28,0.28,123.999,4
0TEekvXTomKt3hdXDZxxeW,"Ribs","Pure Heroine (Extended)","Lorde",2013-01-01,258969,1,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Universal Music New Zealand Limited",0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,4
1SJ2ndZrIfBttZ9UfF3YS0,"Halo Theme Mjolnir Mix","Halo 2, Vol. 1 (Original Soundtrack)","Martin O'Donnell,Michael Salvatori",2004-11-09,251493,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"soundtrack","Skill Tree Records",0.239,0.85,11,-8.514,0,0.0601,0.00873,0.886,0.109,0.0734,93.659,3
0HBrtXJohbIW4IhPZ50GmH,"The Bidding","Marvin's Marvelous Mechanical Museum","Tally Hall",2005-10-24,160613,67,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Tally Hall",0.538,0.607,9,-5.261,0,0.216,0.248,0.00000554,0.0999,0.515,175.424,4
63vL5oxWrlvaJ0ayNaQnbX,"Istanbul (Not Constantinople)","Flood","They Might Be Giants",1990-01-02,153813,63,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Rhino",0.688,0.748,5,-9.39,0,0.0377,0.0801,0.00453,0.136,0.892,114.144,4
4HwvUa2CQcIFT1mfz6we1X,"Red Line","Red Line","Geordie Kieffer",2020-01-08,181534,1,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","+1 Records",0.767,0.653,2,-5.393,1,0.0936,0.0539,0.000247,0.206,0.733,98.014,4
0bKHrxpyzhtxh0Qev2gYBe,"Tatted On My Face (feat. 37 Heartbreak)","Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)","Konrad OldMoney,Don Mara,37 Heartbreak",2020-12-25,185829,34,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Lakeshore Records",0.87,0.881,8,-4.706,0,0.181,0.178,0.00184,0.111,0.762,93.99,4
